state,votes,electoral_vote,usa_state,usa_state_code
Delaware,502384,0.0,Delaware,DE
District of Columbia,279152,0.0,District of Columbia,DC
Florida,11075706,0.0,Florida,FL
Georgia,4983735,0.0,Georgia,GA
Hawaii,573854,0.0,Hawaii,HI
Idaho,867971,0.0,Idaho,ID
Illinois,5501352,0.0,Illinois,IL
Indiana,3031629,0.0,Indiana,IN
Iowa,1686591,0.0,Iowa,IA
Kansas,1334330,0.0,Kansas,KS
Kentucky,2158802,0.0,Kentucky,KY
Louisiana,2147395,0.0,Louisiana,LA
Maine,783776,0.0,Maine,ME
Maryland,2497959,0.0,Maryland,MD
Massachusetts,3453974,0.0,Massachusetts,MA
Michigan,5530390,0.0,Michigan,MI
Minnesota,3271288,0.0,Minnesota,MN
Mississippi,1148432,0.0,Mississippi,MS
Missouri,3010315,0.0,Missouri,MO
Montana,602777,0.0,Montana,MT
Nebraska,940210,0.0,Nebraska,NE
Nevada,1323719,0.0,Nevada,NV
New Hampshire,803195,0.0,New Hampshire,NH
New Jersey,3610021,0.0,New Jersey,NJ
New Mexico,919261,0.0,New Mexico,NM
New York,6641544,0.0,New York,NY
North Carolina,5464097,0.0,North Carolina,NC
North Dakota,361279,0.0,North Dakota,ND
Ohio,5769689,0.0,Ohio,OH
Oklahoma,1560699,0.0,Oklahoma,OK
Oregon,2334762,0.0,Oregon,OR
Pennsylvania,6765139,0.0,Pennsylvania,PA
Rhode Island,505201,0.0,Rhode Island,RI
South Carolina,2515926,0.0,South Carolina,SC
South Dakota,422678,0.0,South Dakota,SD
Tennessee,3049471,0.0,Tennessee,TN
Texas,11259148,0.0,Texas,TX
Utah,1300030,0.0,Utah,UT
Vermont,350178,0.0,Vermont,VT
Virginia,4424408,0.0,Virginia,VA
Washington,3917784,0.0,Washington,WA
West Virginia,786188,0.0,West Virginia,WV
Wisconsin,3297473,0.0,Wisconsin,WI
Wyoming,276528,0.0,Wyoming,WY
Alabama,2309900,0.0,Alabama,AL
Arkansas,1216818,0.0,Arkansas,AR
California,14414296,0.0,California,CA
Colorado,3173127,0.0,Colorado,CO
Connecticut,1786557,0.0,Connecticut,CT
Alaska,172031,56.0,Alaska,AK
Arizona,3322535,0.0,Arizona,AZ
